City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
119,Lompoc,US,2021-05-31 22:15:26,34.6391,-120.4579,75.11,73,90,4.0
120,Saint-Pierre,RE,2021-05-31 22:14:51,-21.3393,55.4781,73.04,69,75,6.91
121,Korgen,NO,2021-05-31 22:15:28,66.0771,13.8153,50.32,87,100,4.14
122,Mar Del Plata,AR,2021-05-31 22:14:30,-38.0023,-57.5575,53.13,52,0,3.44
123,Daru,PG,2021-05-31 22:15:28,-9.0763,143.2092,77.86,84,80,17.76
124,Morondava,MG,2021-05-31 22:15:28,-20.2833,44.2833,69.64,78,8,8.88
125,Tilichiki,RU,2021-05-31 22:15:29,60.4667,166.1,45.32,65,95,2.86
126,Khandagayty,RU,2021-05-31 22:15:30,50.7333,92.05,41.61,58,0,1.1
127,Izumo,JP,2021-05-31 22:15:30,35.3667,132.7667,60.75,82,20,6.35
128,Leningradskiy,RU,2021-05-31 22:15:30,69.3833,178.4167,32.54,86,87,13.35
129,Khartoum,SD,2021-05-31 22:14:34,15.5518,32.5324,96.03,22,36,8.75
130,Dalvik,IS,2021-05-31 22:15:31,65.9702,-18.5286,48.13,63,47,5.53
131,Itacoatiara,BR,2021-05-31 22:11:54,-3.1431,-58.4442,82.47,67,52,2.44
132,Tadine,NC,2021-05-31 22:15:31,-21.55,167.8833,70.86,57,74,16.2
133,Khangah Dogran,PK,2021-05-31 22:15:32,31.8317,73.6231,81.99,45,4,8.14
134,Chany,RU,2021-05-31 22:11:07,55.3121,76.7647,61.95,73,100,6.62
135,Peniche,PT,2021-05-31 22:15:32,39.3558,-9.3811,65.73,91,97,7.58
136,Nikolayevskaya,RU,2021-05-31 22:15:33,47.6139,41.5023,63.37,83,17,7.58
137,Lakatoro,VU,2021-05-31 22:15:33,-16.0999,167.4164,77.86,75,80,9.6
138,Mount Gambier,AU,2021-05-31 22:15:18,-37.8333,140.7667,47.12,40,100,8.66
139,Clyde River,CA,2021-05-31 22:15:25,70.4692,-68.5914,25.03,100,90,3.44
140,San Cristobal,VE,2021-05-31 22:15:21,7.7669,-72.225,77.18,60,59,3.09
141,Kyshtym,RU,2021-05-31 22:15:34,55.714,60.5528,46.22,67,100,4.97
142,Pemangkat,ID,2021-05-31 22:15:35,1.1667,108.9667,78.89,86,86,5.55
143,Upernavik,GL,2021-05-31 22:14:34,72.7868,-56.1549,31.26,90,100,2.95
144,Hwange,ZW,2021-05-31 22:15:35,-18.3693,26.5019,60.66,47,98,0.87
145,Rockport,US,2021-05-31 22:11:12,28.0206,-97.0544,86.04,71,1,5.01
146,Port Blair,IN,2021-05-31 22:15:37,11.6667,92.75,81.95,80,9,4.61
147,Balikpapan,ID,2021-05-31 22:12:13,-1.2675,116.8289,77.99,94,40,2.3
148,Acarau,BR,2021-05-31 22:15:38,-2.8856,-40.12,79.18,83,48,12.55
149,Bojnurd,IR,2021-05-31 22:15:39,37.4747,57.329,66.15,72,0,0.0
150,Pevek,RU,2021-05-31 22:15:39,69.7008,170.3133,39.49,70,3,3.74
151,Dingle,PH,2021-05-31 22:15:40,10.9995,122.6711,78.66,87,100,1.45
152,Yellowknife,CA,2021-05-31 22:14:24,62.456,-114.3525,62.29,44,93,5.99
153,Puerto Baquerizo Moreno,EC,2021-05-31 22:15:40,-0.9,-89.6,76.19,78,75,13.8
154,Georgetown,MY,2021-05-31 22:13:30,5.4112,100.3354,79.9,91,40,4.25
155,Bethel,US,2021-05-31 22:13:29,41.3712,-73.414,69.4,61,1,8.05
